Cocunut;AGE;YEARS_WITH_BANK;MARTIAL_STATUS;EDUCATION;EMPLOYMENT;GENDER;CUST_INCOME;CURRENT_ADDRESS_DATE;CURRENT_JOB_DATE;CURRENT_WITH_BANK_DATE;CURRENT_BALANCE_EUR;MORTGAGE_PRED;MORTGAGE_PROB
80670;48;9;M;BCR;SFE;F;168,1615385;2000-01-01;2007-04-10;2007-10-26;2434,613615;N;0.99912816
80671;61;0;W;HGH;STE;F;181,5152308;1978-01-01;1983-02-01;2016-10-12;3003,461538;N;0.99843794
80672;36;3;M;HGH;PVE;F;163,8153846;2005-01-01;2016-04-01;2013-12-16;474,2307692;N;0.9999794
80673;44;11;S;BCR;PVE;M;759,912;1973-08-06;2016-07-01;2006-06-06;1592,630077;N;0.9996755
80674;70;12;M;BCR;RET;F;335,3450769;1996-11-01;9999-10-01;2005-03-04;790,3846154;N;0.9996686
80675;55;10;S;BCR;STE;F;1787,376923;1962-06-30;2007-05-16;2007-06-11;4615,384615;N;0.9988734
80676;63;9;M;BCR;PVE;M;528,3964615;1982-01-01;2006-09-14;2007-10-30;9230,769231;N;0.9929771
80677;33;1;M;HGH;SFE;F;169,2307692;1984-05-26;2005-01-15;2016-01-08;2307,692308;N;0.9998802
80678;41;6;M;BCR;STE;F;952,1392308;2010-12-01;2015-09-07;2010-09-16;586,1502308;N;0.999824
80679;66;7;M;HGH;RET;M;315,4615385;2011-07-12;1995-01-02;2009-10-15;5295,576923;N;0.9319249
80680;49;11;M;BCR;STE;M;354,2885385;1990-05-01;2002-07-01;2006-03-30;584,8846154;N;0.9995221
80681;35;2;M;HGH;PVE;F;238,8461538;2004-01-01;2011-01-18;2015-06-17;4615,384615;N;0.9997589
80682;62;0;M;HGH;RET;M;173,7987692;1986-02-28;9999-10-01;2016-10-10;2307,692308;N;0.99930704
80683;38;0;M;HGH;STE;F;384,6153846;2000-07-22;2013-11-29;2016-10-11;0;N;0.99988425
80684;41;3;M;HGH;STE;M;755,1384615;2000-01-01;2006-05-01;2013-10-01;348,5361538;N;0.99949753
80685;65;9;M;HGH;RET;F;187,5071538;1973-05-01;9999-10-01;2008-05-20;4505,192308;N;0.99886847
80686;69;14;D;HGH;RET;M;268,1615385;2015-01-01;9999-10-01;2002-07-08;5366,711538;N;0.96417445
80687;65;9;M;BCR;RET;F;247,1635385;1980-05-01;9999-10-01;2007-08-22;5216,538462;N;0.99818283
80688;56;12;M;BCR;STE;F;869,8;2012-01-01;2005-08-01;2005-03-02;3076,923077;N;0.9943896
80689;63;3;D;HGH;RET;F;214,9246154;1997-01-01;9999-10-01;2013-09-06;3797,289923;N;0.9987501
80690;59;12;M;MAS;STE;F;873,0433846;1958-10-01;1989-12-07;2005-02-26;18176,99415;N;0.84321433
80691;38;2;M;HGH;PVE;M;249,8606923;1979-06-22;2016-04-01;2014-08-06;5696,743615;N;0.9986303
80692;66;12;S;HGH;RET;F;239,5941538;2005-06-23;9999-10-01;2005-06-27;4030,961538;N;0.99420774
80693;48;10;D;HGH;STE;F;203,0302308;2007-09-15;1997-10-13;2006-12-01;5924,613308;N;0.98633075
80694;26;4;S;HGH;PVE;M;174,5996154;2000-01-15;2013-01-15;2012-07-17;3382,938231;N;0.99982435
80695;61;0;M;HGH;RET;F;243,9673077;1972-01-01;9999-10-01;2016-10-11;7141,533077;N;0.9386966
80696;45;1;M;BCR;PVE;F;346,1538462;2006-06-01;2000-08-01;2016-05-13;205,3233846;N;0.9998486
80697;70;9;W;HGH;RET;M;232,3566923;2007-04-05;9999-10-01;2007-11-23;987,9807692;N;0.9992532
80698;31;0;M;MAS;STE;M;857,9844615;2000-01-01;2010-06-01;2016-10-13;4615,384615;N;0.9982343
80699;35;10;M;HGH;STE;M;281,3697692;2012-01-01;2007-04-01;2007-06-11;3615,384615;N;0.9989448
80700;60;0;M;HGH;PVE;F;296,9230769;1978-08-20;2012-03-13;2016-10-14;475,3766923;N;0.99997365
80701;30;3;M;HGH;PVE;F;332,0461538;2010-01-01;2015-10-01;2014-06-02;2307,692308;N;0.9998945
80702;63;13;D;HGH;RET;F;269,4907692;2006-05-01;9999-10-01;2003-10-03;2213,076923;N;0.99881077
80703;49;1;M;HGH;STE;M;608,2615385;1968-05-25;1991-04-04;2015-10-01;4615,384615;N;0.99970454
80704;39;11;M;BCR;PVE;F;710,6984615;2010-04-28;2006-01-23;2006-01-23;6384,615385;N;0.9840261
80705;64;11;M;HGH;RET;F;192,5581538;1953-01-13;9999-10-01;2005-08-04;4860,865385;N;0.99930584
80706;36;0;M;HGH;STE;M;405,4946154;1981-05-15;2000-06-10;2016-10-10;1422,692308;N;0.9999299
80707;63;0;M;HGH;RET;M;219,2307692;1984-08-18;2001-12-29;2016-10-11;0;N;0.9996519
80708;32;0;S;BCR;STE;F;401,9386154;1985-02-23;2011-09-01;2016-09-08;2307,692308;N;0.9999008
80709;41;0;M;HGH;STE;F;212,3076923;1996-09-01;2016-02-16;2016-10-12;396,1538462;N;0.9999927
80710;36;0;M;HGH;STE;F;256,1846154;2002-05-01;2001-07-20;2016-10-14;2307,692308;N;0.9998877
80711;65;6;M;HGH;RET;F;154,8246154;1996-12-01;9999-10-01;2011-04-07;4141,615385;N;0.99760973
80712;33;1;M;HGH;PVE;F;174,2738462;1984-08-03;2015-09-07;2016-05-05;1057,151308;N;0.9999833
80713;57;11;M;BCR;STE;F;396,8923077;2001-04-17;2002-07-01;2005-07-15;2307,692308;N;0.99817824
80714;35;2;M;HGH;PVE;F;168,1538462;2015-07-15;2014-10-01;2014-11-10;1928,033538;N;0.9998517
80715;62;10;M;PRS;RET;F;217,1417692;2004-10-19;9999-10-01;2006-07-06;1549,153846;N;0.99945253
80716;47;6;S;HGH;STE;M;370,991;1970-08-04;2010-03-18;2010-09-22;9230,769231;N;0.9865926
80717;28;5;M;HGH;STE;M;329,0692308;2010-10-10;2014-09-01;2011-09-24;634,2759231;N;0.9998988
80718;28;1;M;HGH;PVE;M;196,6153846;1989-03-14;2010-02-08;2015-11-13;3020,506154;N;0.9998542
80719;46;11;D;HGH;STE;F;375,3153846;2007-01-17;1990-12-05;2005-11-02;4615,384615;N;0.99398345
80720;47;4;M;HGH;PVE;F;240;1995-05-10;2005-06-15;2012-10-02;5692,307692;N;0.99699414
80721;38;1;M;HGH;PVE;M;168,0684615;1979-08-25;2015-07-13;2015-10-13;2307,692308;N;0.999964
80722;54;0;M;BCR;STE;M;372,2474615;2007-03-01;2008-09-01;2016-08-01;324,8461538;N;0.99997544
80723;55;10;M;BCR;STE;F;364,3579231;2013-04-01;1999-07-07;2007-05-15;276,6346154;N;0.999046
80724;65;11;W;HGH;RET;F;215,9724615;1998-09-25;9999-10-01;2005-10-13;2466;N;0.99904615
80725;30;0;M;HGH;PVE;M;430,7692308;1987-08-27;2010-06-01;2016-10-11;194,0995385;N;0.9999434
80726;64;2;S;HGH;RET;F;205,7708462;1953-01-18;9999-10-01;2014-08-08;2307,692308;N;0.9995993
80727;47;11;M;HGH;STE;F;270,4440769;1989-09-23;1989-07-15;2005-09-07;5872,028;N;0.9928597
80728;53;3;M;HGH;PVE;M;615,3860769;2009-10-01;2014-10-02;2013-12-03;4615,384615;N;0.99947876
80729;70;1;M;HGH;RET;M;993,3538462;1947-08-30;9999-10-01;2016-06-01;4900,384615;N;0.99947256
80730;65;13;W;HGH;RET;M;230,9784615;2004-10-04;9999-10-01;2004-03-02;2371,153846;N;0.9989145
80731;46;4;M;HGH;PVE;M;167,9486923;2011-07-08;2009-01-01;2012-12-26;2307,692308;N;0.9998834
80732;55;3;D;HGH;PVE;F;187,4064615;1962-07-21;2011-06-01;2014-02-14;360,732;N;0.999915
80733;30;4;M;HGH;PVE;M;293,9538462;1987-09-24;2013-07-01;2012-12-05;2307,692308;N;0.99988604
80734;31;3;M;HGH;PVE;M;384,6153846;2009-01-01;2016-05-17;2013-09-07;9230,769231;N;0.9870884
80735;40;2;M;HGH;PVE;M;610,9333077;2011-01-01;2011-01-17;2015-03-31;4615,384615;N;0.9993017
80736;52;0;M;HGH;STE;M;249,1678462;1965-03-23;1988-01-13;2016-10-14;2307,692308;N;0.9998093
80737;63;13;M;PHD;STE;M;883,7076923;1993-03-05;1979-07-12;2003-09-12;7692,307692;N;0.97641414
80738;28;4;S;BCR;PVE;M;897,2040769;1989-06-29;2013-08-09;2012-12-21;2307,692308;N;0.9996754
80739;51;11;M;HGH;STE;M;384,7384615;1966-06-02;1985-10-03;2005-09-05;661,6933077;N;0.99985003
80740;54;12;D;HGH;STE;F;250,7416923;1975-01-05;1988-10-15;2005-02-03;2411,589615;N;0.9994831
80741;46;2;M;HGH;PVE;M;293,7957692;1971-01-05;2013-06-01;2014-10-02;1923,076923;N;0.9999397
80742;33;10;M;HGH;STE;M;297,5708462;1984-04-07;2006-09-11;2007-04-04;2210,296538;N;0.9993224
80743;26;1;S;HGH;PVE;M;207,4621538;2013-01-01;2016-03-16;2015-12-14;2307,692308;N;0.9997192
80744;29;9;M;HGH;PVE;F;276,9230769;1988-02-03;2015-05-15;2007-08-01;2307,692308;N;0.99976295
80745;45;0;M;HGH;OTH;F;268,454;1972-03-13;9999-10-01;2016-10-10;4615,384615;N;0.9887898
80746;48;11;M;HGH;STE;F;185,5538462;1999-04-16;1999-07-22;2006-01-19;3680,972769;N;0.9980319
80747;41;1;M;HGH;PVE;M;247,0615385;1976-04-09;2015-12-01;2015-08-03;4615,384615;N;0.9989108
80748;51;0;M;HGH;STE;F;271,6461538;2001-01-01;1992-06-01;2016-10-11;4615,384615;N;0.9980866
80749;72;15;W;BCR;RET;F;242,6676923;1975-08-15;9999-10-01;2002-06-17;2055;N;0.9997185
80750;46;10;S;BCR;STE;M;514,9615385;1982-01-01;2000-08-07;2006-11-25;8238,367692;N;0.97908187
80751;59;3;D;HGH;STE;F;405,8662308;1990-08-01;1978-01-13;2013-11-22;3943,899385;N;0.9982191
80752;50;8;M;HGH;PVE;F;245,0835385;2011-10-30;2009-08-01;2008-09-22;400,8133846;N;0.99961615
80753;71;7;M;HGH;RET;M;424,8854615;1946-11-06;9999-10-01;2010-03-02;4821,346154;N;0.9995963
80754;24;2;S;HGH;PVE;M;422,1923077;1993-03-19;2015-06-01;2015-05-04;2307,692308;N;0.9998852
80755;59;0;M;BCR;STE;M;396,0974615;1989-12-31;1984-06-04;2016-10-13;7692,307692;N;0.9794617
80756;69;11;M;HGH;RET;F;191,7378462;1972-05-23;9999-10-01;2005-08-24;2371,153846;N;0.99965584
80757;52;7;M;HGH;STE;M;747,1692308;1968-01-01;1986-01-20;2009-09-10;2307,692308;N;0.9997639
80758;41;1;M;HGH;PVE;F;223,5923077;1995-01-01;2016-06-26;2015-11-24;1557,057692;N;0.99999166
80759;34;7;M;HGH;PVE;M;261,8384615;1983-06-28;2008-01-01;2009-10-20;7692,307692;N;0.98767984
80760;62;11;M;HGH;PVE;M;302,1835385;1984-02-20;1978-10-30;2006-01-25;2307,692308;N;0.9989348
80761;64;13;M;BCR;OTH;F;346,5387692;2007-05-27;9999-10-01;2004-02-12;5371,540769;N;0.9281561
80762;38;3;S;BCR;PVE;F;461,5384615;2014-01-01;2014-05-10;2014-04-07;1310,564231;N;0.99983656
80763;41;10;M;HGH;STE;M;280,1400769;1976-04-23;2001-09-10;2006-12-08;2915,452846;N;0.99937385
80764;35;0;M;HGH;PVE;F;269,2307692;2016-01-01;2016-03-11;2016-10-06;4615,384615;N;0.99401444
80765;64;14;M;HGH;RET;F;219,1838462;1975-01-01;9999-10-01;2002-10-26;2307,692308;N;0.9997826
80766;37;9;M;BCR;PVE;F;328,0923077;2000-10-24;2012-03-03;2007-10-24;3883,507923;N;0.99937004
80767;30;7;M;HGH;STE;F;669,9692308;2007-11-01;2006-11-01;2009-08-14;2307,692308;N;0.9973278
80768;32;10;M;HGH;PVE;M;237,6076923;1985-02-20;2006-10-15;2007-05-05;2307,692308;N;0.9991301
80769;41;9;M;HGH;PVE;M;603,9199231;1984-01-01;2013-04-08;2007-08-14;1016,491615;N;0.9996873
80770;58;13;D;HGH;RET;F;149,5907692;2004-09-01;9999-10-01;2004-02-02;1644,787;N;0.999634
80771;38;4;M;HGH;STE;F;338,4615385;2007-10-03;2006-07-05;2013-03-21;449,08;N;0.9998103
80772;56;12;M;BCR;PVE;F;1049,138462;1999-09-01;2002-12-01;2004-09-23;1614,737231;N;0.9989778
80773;57;12;W;BCR;RET;F;190,716;1978-12-15;9999-10-01;2004-07-23;4057,689231;N;0.99926156
80774;65;4;W;HGH;RET;F;170,3307692;1970-01-01;1998-04-18;2013-01-29;4023,057692;N;0.9974152
80775;29;2;S;BCR;PVE;F;192,3076923;2001-12-08;2015-04-01;2014-10-13;4469,752615;N;0.9996308
80776;68;13;M;BCR;RET;M;758,0779231;2006-01-01;9999-10-01;2003-07-15;5358,807692;N;0.9851421
80777;43;9;M;HGH;PVE;M;413,7615385;1974-03-18;2014-08-14;2008-03-26;2307,692308;N;0.9998517
80778;32;3;S;BCR;PVE;M;599,63;2010-06-05;2016-04-05;2013-10-29;794,0968462;N;0.9998497
80779;58;12;M;HGH;PVE;M;407,1153846;1991-06-15;2003-12-01;2005-04-04;2307,692308;N;0.99925
80780;44;7;M;HGH;STE;M;480,0060769;2012-01-01;9999-10-01;2009-08-14;0;N;0.9989893
80781;44;8;M;HGH;PVE;F;277,5076923;1973-04-10;2015-09-14;2008-11-05;2307,692308;N;0.99991524
80782;57;1;M;HGH;RET;M;289,5578462;1960-07-31;9999-10-01;2016-03-24;2390,439769;N;0.99980444
80783;62;3;W;HGH;RET;F;196,3602308;1979-07-01;9999-10-01;2013-08-06;2845,384615;N;0.99924254
80784;24;2;M;PRS;PVE;M;269,6896923;1993-12-12;2014-04-01;2014-09-01;4844,921692;N;0.9989309
80785;65;13;M;HGH;RET;M;391,4194615;2003-09-01;9999-10-01;2004-01-12;2371,153846;N;0.99896467
80786;51;2;W;HGH;RET;F;249,9394615;1992-01-01;9999-10-01;2014-08-20;1791,708846;N;0.9998621
80787;45;11;M;BCR;STE;F;428,4314615;1978-01-01;1998-01-05;2006-04-07;3807,692308;N;0.9991604
80788;65;2;M;HGH;RET;F;157,5923077;1952-11-09;9999-10-01;2015-01-14;3161,538462;N;0.998961
80789;34;9;S;BCR;PVE;M;715,3846154;1988-06-15;2002-09-01;2007-08-09;474,8160769;N;0.99915504
80790;35;11;M;HGH;PVE;M;521,7441538;2011-05-14;2009-05-16;2006-01-24;7692,307692;N;0.9792756
80791;67;14;W;BCR;RET;F;253,2692308;1991-08-01;9999-10-01;2003-05-13;2845,384615;N;0.9991258
80792;55;12;M;BCR;STE;F;346,8661538;1992-10-10;1996-01-24;2005-04-02;3067,477308;N;0.9990706
80793;63;15;M;HGH;RET;F;224,7287692;2001-12-04;1985-03-18;2002-02-22;440,5384615;N;0.9997676
80794;61;15;M;BCR;SFE;M;200;1985-08-01;1995-02-27;2001-10-01;2307,692308;N;0.999315
80795;67;11;W;BCR;RET;F;330,0076923;2011-03-15;9999-10-01;2005-12-28;1185,576923;N;0.99846053
80796;37;1;M;HGH;PVE;M;215,4692308;1980-07-27;2015-11-23;2015-12-05;2307,692308;N;0.99996686
80797;29;4;M;HGH;PVE;F;219,7868462;1988-01-10;2011-06-01;2013-04-01;4820,321462;N;0.99966216
80798;47;10;M;BCR;STE;F;367,1361538;1995-07-27;1998-01-19;2006-10-02;291,0307692;N;0.999398
80799;64;11;M;HGH;RET;F;251,5598462;2013-10-01;9999-10-01;2006-06-08;5343;N;0.96029335
80800;29;3;M;HGH;PVE;F;255,3615385;2008-04-01;2016-10-01;2014-03-07;2307,692308;N;0.9999232
80801;38;4;M;PRS;STE;F;182,4248462;2008-02-28;2009-07-01;2012-07-09;4557,394846;N;0.9996006
80802;64;11;M;HGH;RET;M;201,1072308;1983-10-01;9999-10-01;2005-10-13;2307,692308;N;0.9996935
80803;47;4;S;HGH;PVE;M;192,3076923;1970-03-08;2014-05-10;2012-09-12;2766,346154;N;0.9999231
80804;36;9;M;BCR;PVE;M;394,3538462;1981-07-11;2012-07-07;2008-05-31;4615,384615;N;0.99838567
80805;66;4;W;HGH;RET;F;197,5206923;1979-12-01;9999-10-01;2012-10-12;474,2307692;N;0.99985945
80806;65;13;M;HGH;RET;F;237,8707692;1987-05-01;9999-10-01;2004-04-05;1580,769231;N;0.9997874
80807;50;5;W;HGH;RET;F;420,6294615;2000-01-01;9999-10-01;2011-09-09;4615,384615;N;0.99639773
80808;35;12;S;HGH;PVE;F;514,0623846;1982-05-12;2005-05-16;2005-05-25;3000;N;0.9995517
80809;34;11;D;HGH;PVE;F;610,5793077;1983-03-21;2010-01-01;2005-09-26;9477,346769;N;0.98351836
80810;64;9;M;HGH;RET;M;328,0912308;1953-11-18;9999-10-01;2007-09-28;476,0032308;N;0.9999093
80811;62;10;M;BCR;STE;F;509,8142308;1986-10-01;1982-08-16;2007-03-29;2307,692308;N;0.9993709
80812;51;10;M;BCR;STE;M;853,8204615;1966-08-02;1997-09-01;2006-09-27;400,8133846;N;0.999856
80813;45;0;M;HGH;PVE;M;351,0047692;1972-05-02;2015-11-20;2016-10-07;2307,692308;N;0.999749
80814;53;12;M;BCR;PVE;M;1156,628077;2006-01-01;2010-01-01;2004-08-02;2307,692308;N;0.9959836
80815;38;1;S;PRS;PVE;M;215,3846154;1979-12-15;2016-03-30;2016-04-04;2307,692308;N;0.9999585
80816;46;0;M;HGH;PVE;F;174,7615385;2001-01-01;2016-01-06;2016-10-07;4615,384615;N;0.989772
80817;67;4;M;HGH;RET;F;192,2807692;2010-01-01;9999-10-01;2013-05-31;4584,230769;N;0.98617065
80818;46;10;M;SEC;PVE;F;318,8239231;1992-01-01;2001-06-01;2007-02-09;1219,789923;N;0.9988825
80819;59;0;M;HGH;STE;M;238,6952308;1998-03-08;2004-12-01;2016-10-14;2307,692308;N;0.99964476
80820;54;4;M;HGH;RET;M;170,7134615;1997-06-01;9999-10-01;2012-09-04;5031,534692;N;0.99752194
80821;49;11;M;HGH;PVE;F;601,2615385;2004-04-02;2000-09-04;2006-01-06;9230,769231;N;0.90639013
80822;37;12;S;HGH;STE;M;409,8926154;1980-09-24;2000-07-22;2004-11-17;2307,692308;N;0.99955636
80823;60;11;M;HGH;PVE;M;202,1515385;2008-09-01;2012-11-01;2005-07-08;3505,688385;N;0.99871933
80824;46;4;M;HGH;PVE;M;358,9738462;1996-01-01;2012-08-27;2012-10-04;4615,384615;N;0.9996288
80825;36;1;S;HGH;PVE;F;262,9918462;1986-01-01;2011-01-01;2015-09-07;236,4246154;N;0.99989665
80826;42;10;M;HGH;STE;F;272,1272308;2000-01-01;1998-11-18;2006-11-28;4270,523231;N;0.9931092
80827;26;4;S;HGH;PVE;M;307,6923077;1991-06-07;2013-11-01;2013-04-26;3996,568692;N;0.9996803
80828;58;4;M;HGH;RET;M;218,4176923;1959-10-29;9999-10-01;2012-10-07;2487,238846;N;0.99984694
80829;60;12;D;BCR;STE;F;334,5076923;2008-01-01;1977-01-01;2004-09-16;2062,052846;N;0.99747187
80830;59;1;D;HGH;RET;M;162,6813846;2002-10-01;9999-10-01;2016-04-09;4615,384615;N;0.99672204
80831;41;12;S;HGH;PVE;F;487,4788462;1999-09-06;2005-03-01;2005-03-17;7153,846154;N;0.97470593
80832;63;11;M;SEC;RET;M;191,4753846;1954-02-14;9999-10-01;2005-10-03;4544,711538;N;0.9993824
80833;69;6;W;HGH;RET;F;152,5849231;2005-09-19;9999-10-01;2011-01-04;2924,423077;N;0.996837
80834;25;3;S;BCR;PVE;F;200,0615385;1992-11-25;2013-10-23;2014-06-18;2307,692308;N;0.9998989
80835;39;12;M;BCR;PVE;F;596,4689231;2009-08-01;2005-04-04;2005-04-19;3846,153846;N;0.99623674
80836;23;0;S;HGH;STE;M;279,7196923;1994-12-30;2016-02-01;2016-10-05;952,0064615;N;0.9999628
80837;40;0;S;HGH;STE;M;563,5904615;2000-01-01;2016-01-01;2016-10-11;4615,384615;N;0.9989304
80838;34;2;S;BCR;PVE;M;269,2307692;1983-06-13;2008-01-03;2014-09-16;7615,384615;N;0.992879
80839;60;12;W;BCR;RET;F;230,1;2007-01-01;9999-10-01;2004-12-28;399,6568462;N;0.9995239
80840;70;4;W;HGH;RET;F;293,8494615;2003-06-25;9999-10-01;2012-09-17;1580,769231;N;0.99948454
80841;51;11;M;BCR;RET;M;203,6498462;2009-05-27;9999-10-01;2005-12-21;302,5996923;N;0.99936837
80842;27;0;M;HGH;PVE;M;317,7921538;2014-05-27;2014-09-29;2016-10-07;7692,307692;N;0.8953835
80843;46;13;M;BCR;STE;M;529,4176154;1980-06-01;2004-03-16;2004-01-14;1507,243462;N;0.99968684
80844;47;12;M;HGH;PVE;M;970,3769231;1988-01-01;2014-02-01;2005-03-18;2307,692308;N;0.9994449
80845;56;5;W;HGH;RET;F;204,628;2014-09-09;9999-10-01;2012-01-30;237,1153846;N;0.99983454
80846;46;4;M;HGH;PVE;F;172,925;1990-09-30;2010-05-01;2012-12-01;4923,076923;N;0.99923766
80847;60;2;M;HGH;RET;F;155,9978462;1990-01-01;9999-10-01;2015-06-09;2307,692308;N;0.9995988
80848;71;12;M;BCR;RET;M;199,3463077;2008-01-01;9999-10-01;2005-03-10;1738,846154;N;0.99888986
80849;40;3;M;HGH;PVE;F;330,7692308;1977-12-11;2012-11-07;2013-08-14;309,1901538;N;0.99971145
80850;56;11;S;HGH;STE;M;285,7203846;1968-07-14;1984-09-30;2005-07-15;2307,692308;N;0.99957615
80851;56;10;M;HGH;PVE;F;187,8609231;2012-05-08;2016-03-01;2006-09-06;2307,692308;N;0.9998691
80852;39;12;M;BCR;PVE;M;1354,471;2016-02-20;2010-05-10;2004-11-02;9684,464154;N;0.87160176
80853;38;1;M;HGH;PVE;M;191,1615385;2012-03-01;2014-11-10;2015-08-27;681,5699231;N;0.9999831
80854;61;9;M;HGH;RET;M;1296,809923;2001-12-01;9999-10-01;2008-03-14;10387,68454;N;0.9446134
80855;36;0;M;HGH;PVE;F;203,4099231;1981-11-01;2008-09-08;2016-10-14;2109,061538;N;0.99992275
80856;55;3;M;HGH;SFE;F;720,4801538;1989-01-01;2011-12-12;2014-04-15;6411,149;N;0.9968592
80857;36;2;S;BCR;STE;F;364,5230769;1981-11-24;2015-03-01;2015-03-02;440,8946923;N;0.9999243
80858;44;2;M;HGH;STE;M;223,0461538;1990-05-01;2010-06-01;2015-06-12;3067,477308;N;0.99986255
80859;38;0;M;HGH;PVE;M;330,7692308;1979-01-03;2007-04-01;2016-10-15;340,6843846;N;0.9999459
80860;51;0;M;HGH;STE;F;360,0830769;2012-01-01;1987-05-25;2016-10-14;7692,307692;N;0.96026456
80861;32;0;S;BCR;PVE;M;561,2474615;2016-01-01;2011-07-01;2016-10-10;4615,384615;N;0.9726786
80862;65;10;M;HGH;RET;M;155,8482308;1996-01-01;9999-10-01;2006-09-27;790,3846154;N;0.9998325
80863;55;5;M;HGH;STE;M;349,7461538;1993-06-01;1985-01-04;2011-11-11;468,4915385;N;0.9992907
80864;69;9;M;BCR;RET;M;398,7874615;1976-01-01;9999-10-01;2007-11-02;1343,653846;N;0.9998275
80865;39;11;M;BCR;PVE;F;428,8110769;1997-10-03;2006-07-24;2005-10-17;5384,615385;N;0.99043906
80866;41;11;M;BCR;STE;F;370,0572308;2004-01-01;2004-11-17;2005-11-02;2301,000462;N;0.9957308
80867;50;6;M;HGH;SFE;F;1,153846154;1967-01-11;2009-01-28;2010-08-20;4642,26;N;0.9979918
80868;51;11;M;BCR;STE;M;329,3307692;2007-07-01;1991-09-01;2005-07-08;7692,307692;N;0.96331227
80869;41;6;M;HGH;STE;F;198,4941538;1993-01-01;2004-04-01;2010-11-08;4557,394846;N;0.99728644
80870;45;11;M;BCR;STE;M;383,6538462;1972-07-15;2010-10-15;2006-06-06;4615,384615;N;0.9991423
80871;70;11;M;HGH;RET;M;224,4985385;2012-07-09;9999-10-01;2005-12-23;790,3846154;N;0.99933404
80872;21;0;S;HGH;STE;F;223,3377692;1996-06-12;9999-10-01;2016-10-13;2307,692308;N;0.9992507
80873;49;11;M;BCR;STE;M;432,0153846;1968-10-21;1991-09-01;2005-08-15;6435,485154;N;0.9983814
80874;26;5;S;HGH;RET;M;288,6812308;2009-01-01;9999-10-01;2012-01-19;692,3076923;N;0.9997421
80875;37;8;M;BCR;PVE;M;767,5418462;1980-07-17;2008-12-04;2008-09-29;925,1605385;N;0.99937785
80876;57;8;M;HGH;RET;M;325,1969231;1970-01-01;9999-10-01;2008-08-13;796,315;N;0.99987054
80877;40;5;M;HGH;STE;F;238,8692308;1995-01-01;2007-09-01;2011-07-20;2618,502692;N;0.99939036
80878;56;2;M;HGH;STE;M;309,4846154;1988-01-01;1982-06-28;2015-06-10;1219,789923;N;0.9998266
80879;41;6;M;BCR;PVE;M;715,6786154;2011-02-01;2010-10-01;2010-09-15;7692,307692;N;0.97132653
80880;25;0;S;HGH;PVE;M;162,6384615;1992-11-17;2013-09-01;2016-10-14;1840,486385;N;0.9998847
80881;45;5;D;BCR;PVE;F;487,5769231;2015-05-01;2016-01-01;2011-09-03;2307,692308;N;0.9995714
80882;45;15;S;BCR;PVE;F;284,8153846;1980-01-01;2003-05-01;2002-06-08;1626,386615;N;0.99985695
80883;47;0;W;HGH;STE;F;377,6030769;1970-11-20;2011-06-06;2016-10-13;4615,384615;N;0.9934549
80884;25;1;S;HGH;PVE;M;253,8461538;1992-09-22;2011-10-19;2015-11-12;1392,474462;N;0.99991834
80885;43;2;M;BCR;STE;F;376,6751538;2011-09-11;2005-11-01;2014-10-10;2307,692308;N;0.9998735
80886;54;0;M;HGH;PVE;F;338,4458462;1983-10-09;2016-07-01;2016-10-10;796,315;N;0.9999838
80887;45;12;M;HGH;PVE;M;862,8461538;2005-01-01;9999-10-01;2004-11-19;13599,78008;N;0.7077503
80888;69;12;D;BCR;RET;F;211,4715385;2008-02-13;9999-10-01;2004-07-23;1304,134615;N;0.9991836
80889;29;0;M;HGH;PVE;F;186,3384615;2007-05-03;2015-08-09;2016-10-10;446,4653846;N;0.9999808
80890;34;9;M;HGH;PVE;M;183,3076923;1983-06-25;2016-02-12;2008-05-28;3846,153846;N;0.99983144
80891;34;9;S;PRS;PVE;M;613,0543846;1994-01-01;2010-01-01;2008-02-28;278,5881538;N;0.9995394
80892;65;11;M;HGH;RET;M;216,8493077;2013-01-01;9999-10-01;2006-06-02;3477,692308;N;0.9932025
80893;72;11;M;HGH;RET;F;242,6953846;1950-01-01;9999-10-01;2005-07-18;2924,423077;N;0.99977845
80894;69;9;M;HGH;RET;M;138,6440769;2005-01-01;9999-10-01;2008-01-28;632,3076923;N;0.9997894
80895;65;13;D;BCR;RET;F;180,0205385;1987-06-01;9999-10-01;2003-07-28;3722,711538;N;0.99891675
80896;39;6;D;BCR;STE;F;369,4177692;1978-05-23;2010-11-16;2010-11-17;1423,507769;N;0.99954057
80897;69;3;D;HGH;RET;M;176,5713846;1987-06-01;9999-10-01;2013-12-27;395,1923077;N;0.9998111
80898;51;9;M;HGH;PVE;M;298,8009231;1995-03-10;1997-09-05;2007-10-23;813,1933077;N;0.998911
80899;63;13;M;HGH;STE;M;260,1364615;2005-04-12;1997-01-14;2004-04-23;1117,623846;N;0.99940944
80900;48;10;M;HGH;STE;F;271,8846154;1990-01-01;1995-11-01;2007-03-22;1925,922231;N;0.9990658
80901;44;3;M;HGH;PVE;F;629,8230769;1992-05-28;2010-01-01;2013-08-06;5058,328154;N;0.9993917
80902;60;12;M;HGH;RET;M;254,0651538;1957-04-12;9999-10-01;2005-04-11;4584,230769;N;0.99962103
80903;39;11;M;BCR;STE;F;320,6923077;2008-09-01;2013-11-18;2006-01-04;6432,938154;N;0.9967535
